회차,추첨일,1등,1번,2번,3번,4번,5번,6번
900,2020.02.29,"3,349,851,375원",7,13,16,18,35,38
899,2020.02.22,"3,359,356,063원",8,19,20,21,33,39
898,2020.02.15,"2,639,313,235원",18,21,28,35,37,42
897,2020.02.08,"1,619,922,520원",6,7,12,22,26,36
896,2020.02.01,"3,053,222,036원",5,12,25,26,38,45
895,2020.01.25,"1,928,079,219원",16,26,31,38,39,41
894,2020.01.18,"2,377,935,959원",19,32,37,40,41,43
893,2020.01.11,"2,377,433,625원",1,15,17,23,25,41
892,2020.01.04,"1,282,017,464원",4,9,17,18,26,42
891,2019.12.28,"3,082,673,947원",9,13,28,31,39,41
890,2019.12.21,"2,335,486,167원",1,4,14,18,29,37
889,2019.12.14,"2,108,986,950원",3,13,29,38,39,42
888,2019.12.07,"2,370,359,204원",3,7,12,31,34,38
887,2019.11.30,"2,535,268,688원",8,14,17,27,36,45
886,2019.11.23,"2,974,643,786원",19,23,28,37,42,45
885,2019.11.16,"1,543,832,568원",1,3,24,27,39,45
884,2019.11.09,"1,799,077,282원",4,14,23,28,37,45
883,2019.11.02,"1,360,519,525원",9,18,32,33,37,44
882,2019.10.26,"4,127,270,400원",18,34,39,43,44,45
881,2019.10.19,"2,503,212,282원",4,18,20,26,27,32
880,2019.10.12,"2,837,810,465원",7,17,19,23,24,45
879,2019.10.05,"3,206,361,313원",1,4,10,14,15,35
878,2019.09.28,"3,207,993,500원",2,6,11,16,25,31
877,2019.09.21,"1,716,607,188원",5,17,18,22,23,43
876,2019.09.14,"1,090,657,856원",5,16,21,26,34,42
875,2019.09.07,"1,415,946,724원",19,22,30,34,39,44
874,2019.08.31,"1,117,123,917원",1,15,19,23,28,42
873,2019.08.24,"1,874,553,225원",3,5,12,13,33,39
872,2019.08.17,"1,262,705,579원",2,4,30,32,33,43
871,2019.08.10,"2,718,071,358원",2,6,12,26,30,34
870,2019.08.03,"1,928,842,988원",21,25,30,32,40,42
869,2019.07.27,"1,922,582,588원",2,6,20,27,37,39
868,2019.07.20,"3,233,804,250원",12,17,28,41,43,44
867,2019.07.13,"3,933,755,250원",14,17,19,22,24,40
866,2019.07.06,"2,240,409,000원",9,15,29,34,37,39
865,2019.06.29,"1,551,729,145원",3,15,22,32,33,45
864,2019.06.22,"1,716,553,637원",3,7,10,13,25,36
863,2019.06.15,"2,853,357,322원",16,21,28,35,39,43
862,2019.06.08,"2,190,922,709원",10,34,38,40,42,43
861,2019.06.01,"4,872,108,844원",11,17,19,21,22,25
860,2019.05.25,"1,879,899,825원",4,8,18,25,27,32
859,2019.05.18,"1,853,927,489원",8,22,35,38,39,41
858,2019.05.11,"2,202,347,459원",9,13,32,38,39,43
857,2019.05.04,"1,284,915,425원",6,10,16,28,34,38
856,2019.04.27,"3,977,927,550원",10,24,40,41,43,44
