sex,age,income,wt,ht,bmi,waist
male,34,25000,87.4,164.7,32.22,100.4
male,17,45000,72.3,181.3,22,74.7
female,60,10000,116.8,166,42.39,118.2
male,26,25000,97.6,173,32.61,103.7
female,50,35000,86.7,168.4,30.57,107.8
male,80,15000,79.1,174.3,26.04,91.1
male,80,15000,89.6,180.1,27.62,113.7
male,17,10000,74.7,169.6,25.97,86
male,13,75000,40.6,156.4,16.6,63.6
female,43,35000,107.7,164.3,39.9,129.8
male,66,5000,82.9,171.3,28.25,
female,45,75000,75.7,166.7,27.24,84.8
male,28,,79.4,163.4,29.74,94.5
female,19,20000,111.6,165.7,40.65,117.4
male,45,45000,102.4,187.6,29.1,106.6
male,66,25000,68,169.5,23.67,89.2
female,50,25000,76.5,164.1,28.41,92.6
male,59,100000,78.4,181.9,23.69,92.5
male,55,65000,74.7,169.4,26.03,96.2
female,27,45000,103.9,162.7,39.25,121.2
male,33,25000,85.7,159.5,33.69,105.3
female,60,35000,73.5,151.4,32.07,100.6
female,44,100000,71.9,169.4,25.06,82.3
female,19,20000,62.6,158.8,24.82,79.5
female,54,100000,67.9,156.8,27.62,95.1
female,58,75000,57.5,148.1,26.22,86
male,50,15000,84.1,177.8,26.6,96
female,70,5000,101.4,159,40.11,134.5
female,65,15000,73.1,162,27.85,101.8
male,22,5000,96.5,185.4,28.07,94.5
female,28,45000,105.8,149.7,47.21,
female,30,15000,51.2,164.1,19.01,75.8
female,80,20000,49,158.8,19.43,74.7
male,34,25000,93.8,181.3,28.54,103
male,60,15000,74.6,169.9,25.84,102.7
male,16,20000,73.2,172,24.74,86.5
female,61,25000,98.9,176.6,31.71,120.7
female,35,75000,60.3,172.4,20.29,71.9
female,57,75000,57.5,170.7,19.73,77.9
male,78,75000,74,166.2,26.79,105.5
female,64,35000,72,149.9,32.04,103
female,58,,51,157.1,20.66,72.5
male,55,55000,113.9,177.1,36.32,116.4
female,71,20000,69.8,167.5,24.88,
male,38,20000,117.3,180.9,35.84,121.5
male,55,15000,77.3,170.4,26.62,92.6
male,27,20000,114.9,181.3,34.96,116
female,27,25000,40.2,140.3,20.42,67.9
male,36,65000,79.2,174.7,25.95,93
male,45,35000,86.5,165.9,31.43,109.1
male,18,20000,78.1,179.3,24.29,82.2
male,55,55000,83.8,169.1,29.31,98.5
female,26,20000,61.4,154.9,25.59,86.4
female,64,10000,62.8,152,27.18,95.5
female,40,25000,77.9,162.8,29.39,96.4
male,40,35000,80.5,170.9,27.56,99.2
female,27,75000,64.9,175.8,21,80.4
female,60,20000,54.3,145.1,25.79,90.8
male,80,20000,105.2,171.5,35.77,130.8
male,58,25000,113.5,184.8,33.23,114.7
male,50,20000,87.6,173.4,29.13,100.9
female,51,65000,82.1,163.8,30.6,108
male,18,100000,72.3,176,23.34,78.5
male,13,35000,57.7,158.9,22.85,84
female,41,5000,63.8,154.9,26.59,95
male,17,100000,88.9,183.3,26.46,85.7
male,28,15000,78.2,175.3,25.45,88.7
female,38,75000,50.7,154.8,21.16,79.7
female,26,75000,57,157.3,23.04,80.4
female,14,10000,97.9,163.2,36.76,119.1
female,56,25000,101.8,156.5,41.56,132
male,14,75000,40.2,155.8,16.56,64.2
male,68,,64.3,163.8,23.97,89.5
female,29,,134.3,169.6,46.69,128
male,32,35000,60.3,173,20.15,75.5
male,26,100000,86.3,178.6,27.06,91.2
female,56,100000,67.2,152.3,28.97,94.7
female,60,10000,70.6,160.8,27.3,107.1
male,52,15000,107,184.5,31.43,116.6
male,38,25000,77.1,164.7,28.42,95
female,51,20000,78.6,164.2,29.15,97.3
